t,qx,qy,qz,qw
4.296,0.326059,-0.138235,0.270462,0.895225
4.320,0.323821,-0.140916,0.272136,0.895111
4.340,0.321954,-0.143103,0.273569,0.895001
4.364,0.319693,-0.145676,0.275307,0.894864
4.380,0.318197,-0.147375,0.276482,0.894756
4.400,0.316388,-0.149502,0.277977,0.894582
4.416,0.314973,-0.151203,0.279188,0.894418
4.432,0.313577,-0.152899,0.280414,0.894237
4.452,0.311849,-0.155008,0.281966,0.893990
4.480,0.309434,-0.157940,0.284187,0.893612
4.500,0.307689,-0.160037,0.285801,0.893327
4.524,0.305569,-0.162529,0.287763,0.892975
4.544,0.303774,-0.164578,0.289424,0.892675
4.564,0.301946,-0.166594,0.291104,0.892375
4.584,0.300088,-0.168568,0.292796,0.892078
4.604,0.298194,-0.170494,0.294495,0.891787
4.620,0.296655,-0.171991,0.295874,0.891557
4.644,0.294299,-0.174159,0.297953,0.891224
4.660,0.292698,-0.175547,0.299343,0.891013
4.676,0.291075,-0.176887,0.300738,0.890810
4.700,0.288605,-0.178806,0.302847,0.890516
4.720,0.286513,-0.180318,0.304609,0.890286
4.740,0.284394,-0.181751,0.306386,0.890064
4.760,0.282275,-0.183136,0.308171,0.889839
4.780,0.280191,-0.184501,0.309967,0.889592
4.800,0.278126,-0.185838,0.311769,0.889332
4.820,0.276061,-0.187137,0.313587,0.889063
4.840,0.273980,-0.188393,0.315420,0.888793
4.856,0.272284,-0.189368,0.316870,0.888592
4.880,0.269659,-0.190782,0.318971,0.888337
4.900,0.267422,-0.191907,0.320727,0.888139
4.916,0.265596,-0.192774,0.322126,0.887993
4.932,0.263736,-0.193615,0.323517,0.887859
4.956,0.260892,-0.194826,0.325591,0.887676
4.976,0.258473,-0.195802,0.327286,0.887546
4.996,0.256012,-0.196747,0.328964,0.887429
5.012,0.254021,-0.197480,0.330304,0.887341
5.036,0.251001,-0.198542,0.332311,0.887214
5.056,0.248463,-0.199396,0.333987,0.887108
5.072,0.246420,-0.200060,0.335327,0.887023
5.092,0.243870,-0.200884,0.337003,0.886906
5.112,0.241366,-0.201747,0.338694,0.886751
5.128,0.239386,-0.202460,0.340052,0.886605
5.148,0.236924,-0.203370,0.341749,0.886406
5.172,0.233971,-0.204478,0.343778,0.886151
5.192,0.231500,-0.205416,0.345448,0.885933
5.208,0.229513,-0.206170,0.346776,0.885756
5.232,0.226517,-0.207299,0.348757,0.885486
5.248,0.224513,-0.208047,0.350072,0.885302
5.268,0.221992,-0.208981,0.351706,0.885070
5.288,0.219448,-0.209910,0.353324,0.884840
5.304,0.217396,-0.210652,0.354607,0.884657
5.320,0.215326,-0.211400,0.355872,0.884477
5.348,0.211659,-0.212720,0.358053,0.884166
5.368,0.208980,-0.213673,0.359543,0.883969
5.388,0.206268,-0.214637,0.361009,0.883774
5.408,0.203527,-0.215615,0.362449,0.883582
5.428,0.200775,-0.216630,0.363875,0.883378
5.448,0.198055,-0.217732,0.365292,0.883136
5.472,0.194820,-0.219147,0.366985,0.882804
5.492,0.192120,-0.220388,0.368359,0.882514
5.516,0.188871,-0.221928,0.369986,0.882149
5.536,0.186157,-0.223229,0.371339,0.881829
5.556,0.183439,-0.224534,0.372686,0.881498
5.588,0.179074,-0.226596,0.374818,0.880964
5.604,0.176878,-0.227598,0.375840,0.880714
5.628,0.173576,-0.229052,0.377342,0.880352
5.648,0.170819,-0.230207,0.378576,0.880060
5.668,0.168060,-0.231300,0.379803,0.879776
5.684,0.165854,-0.232125,0.380781,0.879555
5.700,0.163650,-0.232906,0.381752,0.879340
5.720,0.160902,-0.233819,0.382958,0.879081
5.740,0.158156,-0.234655,0.384147,0.878837
5.768,0.154344,-0.235738,0.385799,0.878501
5.792,0.151148,-0.236663,0.387208,0.878188
5.812,0.148520,-0.237410,0.388377,0.877919
5.836,0.145396,-0.238251,0.389771,0.877596
5.856,0.142803,-0.238886,0.390916,0.877340
5.876,0.140215,-0.239447,0.392055,0.877096
5.896,0.137626,-0.239925,0.393186,0.876869
5.912,0.135545,-0.240244,0.394072,0.876708
5.932,0.132933,-0.240565,0.395155,0.876533
5.948,0.130832,-0.240760,0.395997,0.876416
5.968,0.128187,-0.240923,0.397018,0.876300
5.984,0.126042,-0.240985,0.397804,0.876237
6.004,0.123334,-0.240977,0.398751,0.876194
6.028,0.120057,-0.240846,0.399852,0.876184
6.048,0.117303,-0.240643,0.400738,0.876208
6.064,0.115097,-0.240457,0.401430,0.876235
6.084,0.112351,-0.240227,0.402278,0.876265
6.108,0.109061,-0.239933,0.403265,0.876307
6.124,0.106870,-0.239713,0.403907,0.876342
6.144,0.104130,-0.239397,0.404691,0.876397
6.164,0.101385,-0.239024,0.405447,0.876471
6.188,0.098079,-0.238486,0.406319,0.876590
6.208,0.095318,-0.237965,0.407016,0.876713
6.228,0.092551,-0.237380,0.407681,0.876859
6.244,0.090327,-0.236853,0.408179,0.877001
6.268,0.086985,-0.235971,0.408892,0.877245
6.288,0.084197,-0.235160,0.409459,0.877470
6.304,0.081968,-0.234469,0.409894,0.877663
6.328,0.078632,-0.233371,0.410515,0.877971
6.348,0.075865,-0.232414,0.411017,0.878233
6.372,0.072572,-0.231320,0.411641,0.878508
6.388,0.070397,-0.230626,0.412049,0.878676
6.408,0.067694,-0.229777,0.412552,0.878875
6.428,0.065005,-0.228931,0.413045,0.879067
6.452,0.061796,-0.227893,0.413619,0.879298
6.472,0.059139,-0.226994,0.414081,0.879496
6.496,0.055968,-0.225858,0.414604,0.879750
6.512,0.053865,-0.225057,0.414936,0.879929
6.536,0.050728,-0.223782,0.415408,0.880218
6.552,0.048651,-0.222886,0.415706,0.880422
6.572,0.046071,-0.221715,0.416060,0.880690
6.592,0.043511,-0.220486,0.416393,0.880971
6.612,0.040972,-0.219205,0.416706,0.881264
6.632,0.038454,-0.217862,0.416999,0.881572
6.656,0.035467,-0.216179,0.417341,0.881950
6.676,0.033006,-0.214724,0.417619,0.882269
6.696,0.030566,-0.213229,0.417883,0.882594
6.720,0.027667,-0.211387,0.418182,0.882991
6.744,0.024797,-0.209575,0.418471,0.883372
6.764,0.022426,-0.208126,0.418707,0.883666
6.788,0.019604,-0.206433,0.418983,0.883999
6.812,0.016813,-0.204774,0.419282,0.884301
6.832,0.014500,-0.203409,0.419522,0.884543
6.852,0.012197,-0.202060,0.419754,0.884776
6.868,0.010360,-0.200984,0.419924,0.884965
6.892,0.007617,-0.199370,0.420157,0.885247
6.912,0.005351,-0.198023,0.420337,0.885480
6.928,0.003550,-0.196944,0.420474,0.885665
6.948,0.001311,-0.195596,0.420636,0.885893
6.964,-0.000468,-0.194520,0.420762,0.886071
6.988,-0.003113,-0.192927,0.420949,0.886324
7.008,-0.005304,-0.191687,0.421116,0.886504
7.032,-0.007917,-0.190287,0.421327,0.886686
