t,qx,qy,qz,qw
1.54,-0.15027545392513275,-0.2309519201517105,0.19240257143974304,-0.9418385624885559
1.56,-0.15267331898212433,-0.22893771529197693,0.19526928663253784,-0.941354513168335
1.576,-0.15458105504512787,-0.22728614509105682,0.1976163685321808,-0.9409535527229309
1.596,-0.1569417119026184,-0.22516734898090363,0.2005891501903534,-0.9404429197311401
1.612,-0.15881498157978058,-0.22342675924301147,0.20303824543952942,-0.9400179982185364
1.628,-0.16066652536392212,-0.22164922952651978,0.20551465451717377,-0.9395859837532043
1.652,-0.16340050101280212,-0.2189120501279831,0.20927710831165314,-0.9389254450798035
1.668,-0.16519016027450562,-0.2170349508523941,0.21181799471378326,-0.9384781718254089
1.684,-0.1669512689113617,-0.21511255204677582,0.2143845111131668,-0.9380261898040771
1.708,-0.16953323781490326,-0.21213500201702118,0.21828995645046234,-0.937340259552002
1.728,-0.17163175344467163,-0.20955976843833923,0.22160640358924866,-0.9367592930793762
1.748,-0.1736970692873001,-0.20688627660274506,0.22503383457660675,-0.9361555576324463
1.772,-0.17611655592918396,-0.20360995829105377,0.2291908711194992,-0.9354130625724792
1.788,-0.1777164787054062,-0.20144255459308624,0.23196236789226532,-0.9348964095115662
1.808,-0.17970101535320282,-0.1987447291612625,0.23544836044311523,-0.9342228174209595
1.828,-0.18165838718414307,-0.19604724645614624,0.23895861208438873,-0.933522641658783
1.844,-0.1831972599029541,-0.1938820332288742,0.2417823076248169,-0.9329469203948975
1.864,-0.1851087510585785,-0.1911340057849884,0.24546729028224945,-0.9321739673614502
1.884,-0.18698593974113464,-0.18834945559501648,0.24926818907260895,-0.9313571453094482
1.9,-0.1884462684392929,-0.18610846996307373,0.25232818722724915,-0.9306890964508057
1.92,-0.19021765887737274,-0.18329283595085144,0.2561814486980438,-0.9298344850540161
1.94,-0.19192664325237274,-0.1804715394973755,0.260059118270874,-0.9289582967758179
1.956,-0.1932414472103119,-0.17821890115737915,0.26316800713539124,-0.9282447695732117
1.972,-0.1945054829120636,-0.17597384750843048,0.2662765681743622,-0.9275223016738892
1.992,-0.19603440165519714,-0.17315521836280823,0.2702413499355316,-0.9265837669372559
2.012,-0.19747599959373474,-0.1703735888004303,0.27413493394851685,-0.9256490468978882
2.028,-0.19856813549995422,-0.16817425191402435,0.27724969387054443,-0.9248895645141602
2.052,-0.20010189712047577,-0.16492977738380432,0.2819218039512634,-0.923730194568634
2.068,-0.20105323195457458,-0.16281580924987793,0.2850283980369568,-0.922944962978363
2.088,-0.20215870440006256,-0.16024182736873627,0.28889670968055725,-0.9219508171081543
2.112,-0.20339088141918182,-0.15728029608726501,0.29355910420417786,-0.9207161068916321
2.132,-0.2043655961751938,-0.15497829020023346,0.29744961857795715,-0.919641375541687
2.148,-0.20510607957839966,-0.15324456989765167,0.300552636384964,-0.9187577962875366
2.172,-0.20615042746067047,-0.15079891681671143,0.3052120506763458,-0.9173916578292847
2.196,-0.2071121782064438,-0.14853082597255707,0.30987903475761414,-0.9159794449806213
2.212,-0.2077041119337082,-0.14711658656597137,0.31298381090164185,-0.9150174260139465
